#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
起碼	qǐ mǎ	at least
啟事	qǐ shì	notice, announcement
啟示	qǐ shì	apocalypse, illumination, revelation
起源	qǐ yuán	origin
氣概	qì gài	mettle, spirit
氣管	qì guǎn	windpipe, trachea
契機	qì jī	juncture, turning/critical point
氣派	qì pài	dignified
棄權	qì quán	waive/forfeit one's right, abstain from voting
氣勢	qì shì	vigour, verve, manner, air
氣體	qì tǐ	air, gas
氣壓	qì yā	atmospheric pressure
恰當	qià dàng	appropriate, proper, suitable, fitting
恰好	qià hǎo	exactly, just right
恰恰	qià qià	coincidentally, exactly
洽商	qià shāng	make arrangements with, talk over with
洽談	qià tán	hold trade talk, negotiate
鉛	qiān	lead
牽連	qiān lián	involve (in trouble), implicate
簽署	qiān shǔ	sign/initial (a document)
謙遜	qiān xùn	condescending
前輩	qián bèi	senior (in age/experience/etc), elder, older generation
潛藏	qián cáng	go into hiding
前程	qián chéng	future, prospect
虔誠	qián chéng	pious, devout
前後	qián hòu	front and rear, around or about, altogether
前景	qián jǐng	foreground, prospect, vista, perspective
前科	qián kē	previous criminal record
潛力	qián lì	latent capacity, potential(ity)
前提	qián tí	premise, prerequisite, presupposition
前院	qián yuàn	front courtyard
淺薄	qiǎn bó	superficial, meager, shallow
淺顯	qiǎn xiǎn	easy to read and understand, plain
腔調	qiāng diào	tune, accent
牆角	qiáng jiǎo	corner (formed by two walls)
強勁	qiáng jìn	powerful, forceful
強求	qiáng qiú	extort, exact, impose
強權	qiáng quán	power, might
強壯	qiáng zhuàng	strong, sturdy
瞧不起	qiáo bù qǐ	look down upon, despise
橋樑	qiáo liáng	bridge (lit./fig.)
巧合	qiǎo hé	with coincidence
俏	qiào	pretty, handsome, smart
翹	qiào	raise, become warped
峭壁	qiào bì	cliff, precipice
蹺課	qiāo kè	to avoid attending classes
切磋	qiē cuō	learn from group discussion
且	qiě	both A and B
且	qiě	just; for the time being
切實	qiè shí	feasible, practical, realistic
竊賊	qiè zéi	thief, burglar
親	qīn	be close to, approve of
親愛	qīn ' ài	dear, beloved
侵犯	qīn fàn	violate, infringe on (sb.'s rights)
侵害	qīn hài	encroach on (other's rights), violate
侵略	qīn lüè	invade
欽佩	qīn pèi	admire, esteem, respect
親熱	qīn rè	warm and affectionate; closely attached to one another
親身	qīn shēn	in person, personally, first-hand
親生	qīn shēng	first kin, one's own
侵蝕	qīn shí	corrode, erode
侵襲	qīn xí	make sneak attack on
琴	qín	general name for stringed instruments, zither-like instrument
勤奮	qín fèn	diligent, assiduous
寢室	qǐn shì	bedroom, dormitory
輕薄	qīng bó	insult, harass (verbally)
青翠	qīng cuì	lush
清澈	qīng chè	limpid, clear
青春	qīng chūn	one's youth, young adulthood
清淡	qīng dàn	mild (of flavor), placid (of life)
清潔	qīng jié	clean, sanitary
清靜	qīng jìng	quiet
清廉	qīng lián	honest
輕蔑	qīng miè	indignity, flout, disdain, disparagement, scorn, contempt, dispraise, disrespect
清掃	qīng sǎo	sweeping
輕視	qīng shì	despise, slight
青蛙	qīng wā	frog
傾向	qīng xiàng	tendency, trend, inclination
輕易	qīng yì	lightly, rashly
清幽	qīng yōu	quite and exquisite
情報	qíng bào	intelligence, information
情操	qíng cāo	sentiment (intellectual/aesthetic/etc)
情婦	qíng fù	mistress, the other woman
情節	qíng jié	story, details, plot, circumstances
情景	qíng jǐng	scene, sight, circumstances
情侶	qíng lǚ	sweethearts, lovers
情趣	qíng qù	temperament, interest, appeal
情緒	qíng xù	emotions, feelings, mood
慶幸	qìng xìng	rejoice at a good outcome
丘陵	qiū líng	hills, mounds, craggy terrain
求學	qiú xué	study, attend school
求助	qiú zhù	seek help
屈服	qū fú	surrender
趨勢	qū shì	trend, tendency
渠道	qú dào	irrigation ditch, medium/channel of communication
取材	qǔ cái	select material (for book/etc)
取締	qǔ dì	ban (publication old custom etc), punish violator
取樣	qǔ yàng	sampling
取悅	qǔ yuè	try to please
趣味	qù wèi	fun, interest, taste, delight
圈	quān	circle, encircle
圈子	quān zi	circle
拳	quán	[activity] measure word for the times sb boxes with their fists
全力	quán lì	all one's strength, wholehearted dedication
權力	quán lì	power, authority
全盤	quán pán	all
權威	quán wēi	authority
權益	quán yì	rights and interests
泉源	quán yuán	fountainhead, source
勸導	quàn dǎo	admonish, advise, induce
勸告	quàn gào	recommendation, advice, exhortation
缺陷	quē xiàn	flaw, shortcoming
確保	què bǎo	ensure, guarantee
確切	què qiè	definite, exact, precise, accurate, clear and unambiguous
確實	què shí	really, certainly, truly, indeed
群島	qún dǎo	archipelago
群居	qún jū	live in groups or as a group
染料	rǎn liào	dyestuff
嚷	rāng	shout, make noise
饒	ráo	spare (from harsh treatment), give sth. extra
熱潮	rè cháo	upsurge
熱帶	rè dài	the tropics
熱量	rè liàng	heat
熱水瓶	rè shuǐ píng	hot water bottle, thermos flask
仁愛	rén ' ài	love for one's fellow man, humanity
人次	rén cì	man-times (analogous to "man-hours")
人道	rén dào	humanity, human sympathy
人禍	rén huò	calamity caused by humans
人情	rén qíng	human feelings
人群	rén qún	crowd
人士	rén shì	personage
人手	rén shǒu	manpower
人選	rén xuǎn	candidates, choice among persons
人造	rén zào	synthetic, artificial
忍痛	rěn tòng	very reluctantly, do sth. with reluctance
任	rèn	[general] measure word for the time period of sb who is assigned to some position
認錯	rèn cuò	admit mistake, apologize
認定	rèn dìng	firmly believe, set one's mind on sth.
任期	rèn qí	term of office
任意	rèn yì	willfully, arbitrarily
日程	rì chéng	schedule, itinerary
日光燈	rì guāng dēng	fluorescent lamp
日益	rì yì	increasingly
容	róng	allow, tolerate
溶	róng	dissolve
融合	róng hé	mix together, fuse, stick together
溶化	róng huà	dissolve (of sugar/etc)
容量	róng liàng	capacity (of container)
容器	róng qì	container
融洽	róng qià	with mutual understanding
容納	róng nà	have capacity for, accommodate
容許	róng xǔ	permit, tolerate
榮譽	róng yù	honor
揉	róu	rub, knead
柔軟	róu ruǎn	soft, lithe
肉麻	ròu má	disgusting
肉體	ròu tǐ	flesh and blood, the body
如此	rú cǐ	so, such
儒家	Rú jiā	Confucian school
入境	rù jìng	to enter a country
入口	rù kǒu	import check
入世	rù shì	experience the real world
軟弱	ruǎn ruò	flabby, faint, jellify, feeble
軟體	ruǎn tǐ	software
若	ruò	if, as if
若干	ruò gān	a certain number
撒	sā	let go, release, let oneself go
撒謊	sā huǎng	tell lie, blague, lie, tell a lie, cram, falsify
灑	sǎ	sprinkle, spray, spill, shed
塞車	sāi chē	traffic jam
賽	sài	compete, to race (cars, horses...)
散文	sǎn wén	prose
散布	sàn bù	disseminate, scatter, diffuse
喪事	sāng shì	funeral arrangement
嗓子	sǎng zi	throat, larynx, voice
喪生	sàng shēng	get killed, lose one's life
騷動	sāo dòng	become restless, disturb, upset
嫂子	sǎo zi	elder brother's wife
色情	sè qíng	pornographic, sexy
色澤	sè zé	color and luster
傷亡	shāng wáng	injure and die
思潮	sī cháo	trend of thought, ideological trend, thoughts
絲毫	sī háo	in the slightest amount/degree
司令	sī lìng	commander, commanding officer
思念	sī niàn	think of, long for, miss
思維	sī wéi	thought, thinking
斯文	sī wén	cultured
私心	sī xīn	selfish motive/idea, selfishness
似的	sì de di	it looks like
松樹	sōng shù	pine tree, pine
慫恿	sǒng yǒng	instigate, incite
搜集	sōu jí	collect, gather
俗稱	sú chēng	be commonly called..., be commonly known as...
俗語	sú yǔ	common saying, folk adage
塑膠	sù jiāo	synthetic resin, plastic
訴苦	sù kǔ	to air one's grievances; to complain
素食	sù shí	vegetarian diet
素質	sù zhí	quality, diathesis
算命	suàn mìng	tell fortune
算術	suàn shù	arithmetic
雖說	suī shuō	though, although
隨	suí	as soon as
隨	suí	right after
隨後	suí hòu	later on, soon after
隨即	suí jí	immediately
隨身	suí shēn	(take/have) with one(self)
隨同	suí tóng	together; together with
隨著	suí zhe	along with, in the wake of, in pace with
隧道	suì dào	tunnel
歲月	suì yuè	years, time
損	sǔn	decrease, lose, harm, damage, be sarcastic/caustic, be mean/shabby
損害	sǔn hài	harm, damage, injure
損壞	sǔn huài	damage, injure
損傷	sǔn shāng	harm, detriment, blemish, trauma, debit, loss, derogation, strain, hurt, lesion, scathe, damage, impairment, prejudice, wounding, wound
縮小	suō xiǎo	reduce, narrow, shrink
所得	suǒ dé	income, earnings, gains
索賠	suǒ péi	claim damages
瑣碎	suǒ suì	trifling, trivial
所以然	suǒ yǐ rán	whys and wherefores
所在	suǒ zài	place, location
殺價	shā jià	to haggle and beat down the price; to reduce prices; to cut price down; to knock sth. off; to drive a bargain
沙拉	shā lā	salad
沙啞	shā yǎ	hoarse
傻瓜	shǎ guā	fool
煞車	shā chē	to tighten, to put on the brake
剎車	shā chē	put on the brakes, brake car, turn off a machine, stop a vehicle by applying the brakes, stop a machine by cutting off the power
山峰	shān fēng	mountain peak
山谷	shāng ǔ	mountain valley, dale, ravine, gorge, glen
山脈	shān mài	mountain range
閃電	shǎn diàn	lightning
閃爍	shǎn shuò	twinkle, flicker, glisten
閃耀	shǎn yào	glitter, shine, radiate
擅長	shàn cháng	be good at
扇子	shàn zi	fan
傷口	shāng kǒu	wound, cut
商榷	shāng què	deliberate
商討	shāng tǎo	discuss, deliberate over
賞	shǎng	reward, award
尚	shàng	still, yet, fairly, rather
上吊	shàng diào	hang oneself
上好	shàng hǎo	first-class
上進	shàng jìn	go forward, make progress
上空	shàng kōng	in the sky, overhead
上路	shàng lù	set out on journey
上門	shàng mén	visit
上司	shàng sī	superior, boss
上述	shàng shù	above-mentioned
上下	shàng xià	or so, thereabouts
上旬	shàng xún	first 10-day period of a month
上演	shàng yǎn	put on stage, perform
上癮	shàng yǐn	habituate, be addicted
燒香	shāo xiāng	burn joss sticks, fumigate
奢侈	shē chǐ	luxurious, extravagant
奢望	shē wàng	have wild wishes, have extravagant hopes
設	shè	set up, found
涉及	shè jí	involve, touch upon
射擊	shè jí	shoot, fire
社交	shè jiāo	social contact/interaction
社論	shè lùn	editorial
攝取	shè qǔ	absorb, assimilate
設施	shè shī	installation, facilities
攝氏	Shè shì	Celsius (thermometer)
射手	shè shǒu	shooter, marksman
社團	shè tuán	mass organization
涉嫌	shè xián	be suspected of being involved
設想	shè xiǎng	imagine, assume, have consideration for
設置	shè zhì	set/put up, install
深奧	shēn ' ào	profound
深沉	shēn chén	deep, profound
深度	shēn dù	depth, profundity
身段	shēn duàn	posture
深厚	shēn hòu	deep, profound, solid, deep-seated
身教	shēn jiào	teach others by one's own example
深切	shēn qiè	heartfelt, deep, profound
深入	shēn rù	go deep into, penetrate into
深造	shēn zào	pursue advanced studies
身子	shēn zi	body, health
