#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
途徑	tú jìng	way, channel
圖騰	tú téng	totem
突兀	tú wù	towering, distinguished, prominent
土壤	tǔ rǎng	soil
團	tuán	[general] measure word for some abstract things indicating confusion or disorder
團聚	tuán jù	reunite
團員	tuán yuán	member (of delegation/organization/etc)
推測	tuī cè	infer, conjecture, guess
推出	tuī chū	present to public
推崇	tuī chóng	esteem, praise highly
推選	tuī xuǎn	elect, choose
退化	tuì huà	degenerate, deteriorate
吞吞吐吐	tūn tūn tǔ tǔ	hum and haw
托	tuō	hold in palm, support from under, serve as foil, set off, put lining in
拖	tuō	delay, drag on, procrastinate
拖累	tuō lèi	encumber, be burden on, implicate, involve
脫身	tuō shēn	get free, extricate oneself, get away, get away
脫手	tuō shǒu	sell
拖延	tuō yán	delay, put off
妥當	tuǒ dang	appropriate, proper
瓦斯	wǎ sī	gas
外公	wài gōng	maternal grandfather
外號	wài hào	nickname
外力	wài lì	outside/external force
外貿	wài mào	foreign trade
外銷	wài xiāo	sell abroad or elsewhere within country
外線	wài xiàn	exterior lines, outside (phone) connection
外衣	wài yī	outer clothing/garment, semblance, appearance
外遇	wài yù	paramour, extramarital affair
外在	wài zài	external, extrinsic
外資	wài zī	foreign capital
外祖父	wài zǔ fù	maternal grandfather
外祖母	wài zǔ mǔ	maternal grandmother
彎曲	wān qū	distort
完備	wán bèi	perfect
玩弄	wán nòng	play/juggle with, resort to, employ
頑強	wán qiáng	stubborn
挽	wǎn	pull, draw
挽救	wǎn jiù	save, remedy
萬分	wàn fēn	extremely, enormously
萬歲	wàn suì	banzai, heil, hurrah, long live viva
萬萬	wàn wàn	absolutely
萬物	wàn wù	myriads of things, all nature
惋惜	wàn xí	feel sorry for/about, pity
亡國	wáng guó	lose national independence, let a state perish, subjugate a nation
往來	wǎng lái	come and go
旺季	wàng jì	peak period, busy/high season
旺盛	wàng shèng	vigorous, exuberant
威風	wēi fēng	①power and prestige ②majestic and awe-inspiring
威力	wēi lì	power, might
為	wéi	to do
為	wéi	to be, become
違背	wéi bèi	violate, go against
危害	wéi hài	harm, endanger
圍巾	wéi jīn	muffler, scarf
圍牆	wéi qiáng	enclosing wall
圍繞	wéi rào	move around, center on, revolve around
為人	wéi rén	personal character/make-up
微弱	wéi ruò	faint, feeble, weak
為生	wéi shēng	make a living
維生素	wéi shēng sù	vitamin
為首	wéi shǒu	head, be headed by
微小	wéi xiǎo	minute, tiny, slight
違約	wéi yuē	break one's promise, renege, violate a treaty, break contract, break promise/engagement, welch, break a contract, violate treaty, default, break off an engagement
為止	wéi zhǐ	stop here
委屈	wěi qū	①to feel wronged; to nurse a grievance; ②[polite] to put sb under great inconvenience etc
萎縮	wēi suō	wither, shrivel, shrink, sag, atrophy
胃	wèi	stomach
未必	wèi bì	may not, not necessarily
為何	wèi hé	why, for what reason
未婚夫	wèi hūn fū	fiance
未婚妻	wèi hūn qī	fiancee
胃口	wèi kǒu	appetite, liking
未免	wèi miǎn	rather, truly, inevitably
溫	wēn	warm up, review
溫帶	wēn dài	temperate zone
溫和	wēn hé	temperate, mild, moderate, gentle
溫泉	wēn quán	hot spring
溫習	wēn xí	review
溫馴	wēn xún	obedient, peaceful, tamed
瘟疫	wēn yì	pestilence
聞名	wén míng	well-known, famous
文明	wén míng	civilization, culture
文憑	wén píng	diploma
文書	wén shū	document, official correspondence
文壇	wén tán	literary circles
文獻	wén xiàn	data/documents related to a country's history/culture/etc
穩健	wěn jiàn	firm, steady
紊亂	wèn luàn	disorder, chaos, confusion
問世	wèn shì	be published, come out
臥	wò	lie down, crouch, sit (of animals/birds), poach (eggs)
烏龜	wū guī	tortoise, cuckold
烏龍茶	wū lóng chá	oolong tea
烏鴉	wū yā	crow
無比	wú bǐ	unparalleled, matchless
無線電	wú xiàn diàn	radio
無疑	wú yí	beyond doubt, undoubtedly
五金	wǔ jīn	five metals, ironware, the five metals, hardware, metals
武力	wǔ lì	armed force
侮辱	wǔ rù	insult, humiliate
武士	wǔ shì	palace guard, warrior, knight
武術	wǔ shù	martial art
武裝	wǔ zhuāng	arm, equipped with weapons
誤差	wù chā	error
物產	wù chǎn	products, produce
誤解	wù jiě	misread, misunderstand
物品	wù pǐn	article, goods
務實	wù shí	try to be practical/pragmatic, deal with concrete matters
物體	wù tǐ	body, substance, object
物資	wù zī	materials, goods
西服	xī fú	Western-style clothes
溪流	xī liú	brook, rivulet
西洋	Xī yáng	the West, the Western world
西醫	xī yī	Western medicine
錫	xí	tin
席	xí	[general] [event] individual measure word for ①elaborate meals, usually for a special event. ②talking, vindicating etc.3. special space or political event
襲擊	xí jí	make surprise attack on
昔日	xí rì	former days/times
習題	xí tí	exercises
席位	xí wèi	seat
喜劇	xǐ jù	comedy
洗禮	xǐ lǐ	baptism, severe test
喜氣	xǐ qì	hilarity
喜悅	xǐ yuè	happy, joyous
戲曲	xì qǔ	a drama; a play; a traditional opera
瑕疵	xiá cī	flaw, blemish
峽谷	xiá gǔ	gorge, canyon
狹小	xiá xiǎo	narrow and small, narrow
狹窄	xiá zhǎi	narrow, cramped, narrow and limited
下筆	xià bǐ	begin to paint, put pen to paper, begin to write
下跌	xià dié	fall, decline, decrease
下列	xià liè	listed below, following
下水	xià shuǐ	water, enter the water, take to evildoing, fall into evil ways, launch, be launched
下水道	xià shuǐ dào	sewer
下旬	xià xún	last 10-day period of month
掀	xiān	lift (cover/etc), surge, cause to surge
仙丹	xiān dān	elixir of life
先後	xiān hòu	order, priority
先進	xiān jìn	senior (in age/experience/etc)
鮮明	xiān míng	bright (of color), distinct, distinctive
先驅	xiān qū	pioneer, forerunner, harbinger
先天	xiān tiān	congenital, inborn, a priori, innate
纖維	xiān wéi	fiber, staple
鮮豔	xiān yàn	bright
嫌疑	xián yí	suspicion
顯現	xiǎn xiàn	appear, reveal
限	xiàn	set a limit, restrict
限度	xiàn dù	limit, limitation
憲法	xiàn fǎ	constitution, charter
線路	xiàn lù	circuit, line, route
陷入	xiàn rù	sink/fall into, get bogged down in
獻身	xiàn shēn	give one's life for, consecrate, dedicate oneself to, dedicate, devote oneself to, devote, give one's life
現行	xiàn xíng	in effect/force/operation, current, active
現狀	xiàn zhuàng	status quo, present conditions
鑲	xiāng	inlay, set, mount
相處	xiāng chǔ	get along (with one another)
相傳	xiāng chuán	hand down or pass on from one to another
相仿	xiāng fǎng	be similar, be more or less same
相符	xiāng fú	conform to, tally/agree with, correspond to/with
相繼	xiāng jì	in succession, one after another
相配	xiāng pèi	match, fit
鄉土	xiāng tǔ	upcountry, corny
香皂	xiāng zào	perfumed/scented soap
想開	xiǎng kāi	think away, get over
響亮	xiǎng liàng	loud and clear, vociferous; ring_out
項	xiàng	[general] individual measure word for sums of money, accounts etc
向	xiàng	always, all along
嚮導	xiàng dǎo	guide, cicerone
嚮往	xiàng wǎng	long for, dream of
象徵	xiàng zhēng	symbol, emblem, token
象徵	xiàng zhēng	symbolize, signify, stand for
消毒	xiāo dú	disinfect, sterilize
消防	xiāo fáng	fight/prevent fire
消耗	xiāo hào	consume, use up, deplete
消遣	xiāo qiǎn	make fun of..
消遣	xiāo qiǎn	divert oneself, while away time
瀟灑	xiāo sǎ	handsome and debonair, natural and unrestrained
逍遙	xiāo yáo	be free and unfettered
小販	xiǎo fàn	peddler, vendor, hawker
小伙	xiǎo huǒ zi	lad, young fellow, youngster
小腿	xiǎo tuǐ	shank
效法	xiào fǎ	follow example of
效勞	xiào láo	serve, give service to, work in the service of, render service to, devote oneself to, work for, be in the service of
效力	xiào lì	effect
笑嘻嘻	xiào xī xī	grinning, smiling broadly, grin
孝子	xiào zǐ	dutiful son, son in mourning
效忠	xiào zhōng	devote oneself heart and soul, pledge loyalty to
協辦	xié bàn	do sth. jointly
協定	xié dìng	arrange, accord, covenant
協會	xié huì	association, society
協商	xié shāng	consult, talk things over
協調	xié tiáo	coordinate, harmonize, bring into line
協調	xié tiáo	concordant, matching
協議	xié yì	agreement
協議	xié yì	agree on
血汗	xiě hàn	blood and sweat, sweat and toil
血跡	xiě jī	bloodstain
寫實	xiě shí	write/paint realistically
血壓	xiě yā	blood pressure
寫作	xiě zuò	writing
洩氣	xiè qì	to feel discouraged, to lose heart, to be disheartened, to be disappointed, to be frustrated
心愛	xīn ' ài	love, treasure
新潮	xīn cháo	fashionable
心靈	xīn líng	heart, soul, spirit
辛勤	xīn qín	industrious, hardworking
心軟	xīn ruǎn	softhearted
心思	xīn sī	thought, idea, thinking
心酸	xīn suān	feel sad, be grieved
辛酸	xīn suān	sad, tearful
心聲	xīn shēng	heartfelt wish, aspiration, thinking
心事	xīn shì	weight on one's mind, worry
新手	xīn shǒu	new hand, raw recruit
心態	xīn tài	psychology
心疼	xīn téng	love dearly; feel sorry
新興	xīn xīng	new and developing, rising, burgeoning
心胸	xīn xiōng	breadth of mind
新穎	xīn yǐng	new and original, novel
信賴	xìn lài	trust, count on, have faith in
信念	xìn niàn	faith, belief, conviction
信徒	xìn tú	believer, disciple
信息	xìn xí	information, news, message
星辰	xīng chén	stars
興隆	xīng lóng	thrive, flower, flourish, prosperous, prosper
星座	xīng zuò	constellation
行善	xíng shàn	philanthropize, practise philanthropy, do kind deeds, do good works
行使	xíng shǐ	exercise, perform
刑事	xíng shì	criminal, penal
形勢	xíng shì	terrain, topographical features, situation, circumstances
型態	xíng tài	format
形態	xíng tài	form, shape, pattern, morphology
形體	xíng tǐ	physique, form and structure
行星	xíng xīng	planet
形形色色	xíng xíng sè sè	all kinds of things
行政	xíng zhèng	administration
性能	xìng néng	natural capacity, function (of machine/etc), property
興起	xīng qǐ	rise, spring up, be on the upgrade
性情	xìng qíng	disposition, temperament, temper
興致	xìng zhì	interest, mood to enjoy
胸	xiōng	chest, bosom, thorax, mind, heart
胸口	xiōng kǒu	pit of stomach, the middle of the chest
修補	xiū bǔ	mend, repair, revamp
修訂	xiū dìng	revise
修好	xiū hǎo	foster cordial relations between states
修建	xiū jiàn	build, construct, erect
修女	xiū nǚ	nun, sister
修養	xiū yǎng	self-cultivation, spiritual character
修築	xiū zhú	construct, build, put up
繡	xiù	embroider
須	xū	must, have to
虛擬	xūn ǐ	fictitious, suppositional
虛心	xū xīn	humble, open-minded
許	xǔ	or so
許多	xǔ duō	very many (much)
許久	xǔ jiǔ	for a long time
許可	xǔ kě	permit, allow
酗酒	xù jiǔ	drink excessively
序幕	xù mù	prologue, prelude
敘述	xù shù	narrate, recount, relate
宣稱	xuān chēng	assert, declare, profess
宣告	xuān gào	declare, proclaim
宣示	xuān shì	announce, proclaim
宣誓	xuān shì	take/swear an oath, vow
宣言	xuān yán	declaration, manifesto
宣揚	xuān yáng	publicize, propagate, advertise
懸崖	xuán yá i	overhanging cliff, precipice
旋律	xuán lǜ	melody
懸殊	xuán shū	very different, a wide gap
旋轉	xuán zhuǎn	revolve, gyrate, spin
選拔	xuǎn bá	select
選購	xuǎn gòu	choose and buy
選民	xuǎn mín	voter
選票	xuǎn piào	ballot
選修	xuǎn xiū	take as an elective
靴子	xuē zi	boots
學分	xué fēn	course credit
學好	xué hǎo	learn from or emulate good examples
學科	xué kē	branch of learning, course, subject, discipline
學年	xué nián	school/academic year
學識	xué shì	learning, knowledge, scholarly attainments
學說	xué shuō	theory, doctrine
學徒	xué tú	apprentice, trainee
學員	xué yuán	member of institution of learning, student
學制	xué zhì	educational/school system, length of schooling
雪人	xuě rén	snowman, yeti
削弱	xuè ruò	weaken, cripple
循環	xún huán	circulate, cycle.circulatory system
巡邏	xún luó	patrol
巡視	xún shì	make inspection tour
詢問	xún wèn	ask about, inquire
訓	xùn	lecture, teach, train
押	yā	mortgage, pawn, pledge, detain, take into custody, escort, send under escort, shelve, rhyme
鴉片	yā piàn	opium
壓歲錢	yā suì qián	money given to children as a lunar New Year gift, New Year money gift to children
壓縮	yā suō	condense, reduce
壓制	yā zhì	suppress, stifle, inhibit, press
芽	yá	bud, sprout, shoot
牙科	yá kē	dentistry
啞	yǎ	dumb, mute
亞軍	yǎ jūn	runner-up
淹	yān	flood, submerge, delay, procrastinate, stay, be stranded
延遲	yán chí	delay, postpone
沿海	yán hǎi	along the coast, coastal, littoral
嚴禁	yán jìn	strictly prohibit
嚴厲	yán lì	stern, severe
言論	yán lùn	open discussion, speech
嚴密	yán mì	tight, close
延伸	yán shēn	extend, stretch
岩石	yán shí	rock
沿途	yán tú	on the way, throughout a journey
延誤	yán wù	incur loss through delay
沿襲	yán xí	carry on as before
延續	yán xù	continue, go on, last
沿用	yán yòng	continue to use (old methods/etc)
癌症	yán zhèng	cancer
演變	yǎn biàn	transmute
眼界	yǎn jiè	field of vision/view, outlook
眼看	yǎn kàn	see sth. happen, watch helplessly
衍生	yǎn shēng	derive, form
演說	yǎn shuō	speech, address
演習	yǎn xí	maneuver, exercise, drill, practice
燕窩	yàn wō	edible bird's nest, nest of cliff swallow
燕子	yàn zi	swallow
央求	yāng qiú	beg, plead, implore
仰	yǎng	face upward, admire, respect, look up to, rely/depend on
養分	yǎng fèn	nutrient
養老	yǎng lǎo	live out one's life in retirement, live out life in retirement, provide for the aged
仰慕	yǎng mù	admire, look up to
邀	yāo	invite
窯	yáo	kiln, (coal) pit, cave dwelling
搖晃	yáo huàng	rock, sway, shake
謠言	yáo yán	rumors
遙遠	yáo yuǎn	distant, remote
要點	yào diǎn	main points, essentials, gist, key strongpoint
要犯	yào fàn	important criminal
要好	yào hǎo	being close friends
藥品	yào pǐn	medicines and chemical reagents
葉	yè	[general] metaphorical measure word for leaf-like things, such a tiny boat
業績	yè jī	achievement
夜景	yè jǐng	night scene/view
依	yī	according to, judging by
依舊	yī jiù	as before, still
依據	yī jù	according to, on the basis of, judging by
依賴	yī lài	rely/depend on
醫療	yī liáo	treat, cure
醫術	yī shù	medical skill; the art of healing
醫藥	yī yào	medicine
依照	yī zhào	according to, in light of
咦	yí	of surprise/disapproval
儀表	yí biǎo	appearance, bearing, meter
遺產	yí chǎn	estate, birthright, patrimony, legacy, heritage, inheritance, bequest
遺傳	yí chuán	bequeath, pass on to next generation
一旦	yī dàn	once, some time or other
一道	yī dào	together
一度	yī dù	once, at one time, for a time, on one occasion
一概	yī gài	one and all, without exception
一貫	yī guàn	consistently, from first to last, all along
遺憾	yí hàn	regret, pity
遺留	yí liú	leave behind, hand down
一律	yī lǜ	without exception, uniformly, equally
疑慮	yí lǜ	misgivings, doubts
遺棄	yí qì	abandon, forsake
遺體	yí tǐ	remains (of dead)
遺忘	yí wàng	forget
一味	yī wèi	habitually, invariably, blindly, stubbornly
移植	yí zhí	transplant, graft
遺址	yí zhǐ	ruins, relics
遺志	yí zhì	deathbed behest
倚	yǐ	rest on; reply on
以至	yǐ zhì yú	down/up to, to such an extent as to..., so...that...
亦	yì	both A and B
亦	yì	also, too
異常	yì cháng	unusual, extraordinary, abnormal
議定	yì dìng	decide (after negotiations)
毅力	yì lì	willpower, will, stamina
一連串	yī lián chuàn	in a row; in succession
一流	yī liú	first-class
議論	yì lùn	debate, discuss
翌日	yì rì	next day
一如	yī rú	as
意識到	yì shì dào	appreciate, be conscious of
議題	yì tí	topic for/under discussion
液體	yì tǐ	liquid
意圖	yì tú	intention, intent
意味	yì wèi	signify, mean, imply
異鄉	yì xiāng	alien land (i.e., not one's hometown)
一心	yī xīn	wholeheartedly, of one mind
議員	yì yuán	member of legislative body
意願	yì yuàn	wish, desire, aspiration
抑制	yì zhì	restrain, control, check
因而	yīn ' ér	consequently
因果	yīng u ǒ	cause and effect, karma, preordained fate
陰謀	yīn móu	plot, scheme
陰影	yīn yǐng	shadow
銀幕	yín mù	(motion-picture) screen
銀色	yín sè	grade of silver in coins, silver color
銀子	yín zi	money; silver
引	yǐn	quote, cite
引導	yǐn dǎo	guide, lead
引進	yǐn jìn	recommend, introduce from elsewhere
引擎	yǐn qíng	engine
隱藏	yǐn cáng	hide, conceal
隱士	yǐn shì	recluse, hermit
隱約	yǐn yuē	faint, indistinct
印證	yìn zhèng	confirm, verify
應	yīng	in response to
應	yīng	to respond, to adapt to, to answer
鷹	yīng	hawk, eagle, falcon
櫻桃	yīng táo	cherry
英勇	yīng yǒng	heroic, valiant
迎	yíng	welcome, receive, meet, face
營地	yíng dì	campsite
迎合	yíng hé	pander/cater to
營造	yíng zào	construct, build
影射	yǐng shè	allude to, insinuate
硬	yìng	doggedly
應變	yìng biàn	meet contingency
應酬	yìng chóu	have social intercourse with, treat with courtesy
應急	yìng jí	meet an urgent need, meet an contingency, meet an emergency, meet emergency, lash-up, meet a contingency
硬體	yìng tǐ	hardware
應驗	yìng yàn	come true
應徵	yìng zhēng	enroll, enlist
唷	yō	Yo!
優待	yōu dài	give preferential/special treatment
悠久	yōu jiǔ	long in time
優勢	yōu shì	superiority, preponderance
優先	yōu xiān	preferentially, preemptively
悠閒	yōu xián	leisurely and carefree
優異	yōu yì	excellent, outstanding
憂鬱	yōu yù	depressed
油	yóu	oily, greasy, glib, slick
由來	yóu lái	origin, cause
遊覽	yóu lǎn	go sight-seeing, tour, visit
油膩	yóu nì	oily, greasy
油田	yóu tián	oil field
油條	yóu tiáo	deep-fried twisted dough sticks
猶豫	yóu yù	hesitate, be irresolute
友愛	yǒu ' ài	love fraternally
有機	yǒu jī	organic
有理	yǒu lǐ	reasonable, justified, in the right, rational
有為	yǒu wéi	capable
有限	yǒu xiàn	limited, finite
有心人	yǒu xīn rén	person with set purpose, thinking/feeling people
有形	yǒu xíng	tangible, visible
有益	yǒu yì	benefit, be helpful
有意	yǒu yì	have a mind to, be interested in
有緣	yǒu yuán	destined
鈾	yóu	uranium
誘惑	yòu huò	tempt, seduce, lure
幼稚	yòu zhì	boyish, immature
湧	yǒng	seethe, flow out
踴躍	yǒng yuè	eager, enthusiastical
用戶	yòng hù	consumer, user
用途	yòng tú	use
用心	yòng xīn	motive, intention
于	yú	to, at, with, from
於	yú	in, at, to, from, out of, by
逾	yú	exceed, go beyond, become even more
餘	yú	odd, plus
餘	yú	be left (over), remain
愚蠢	yú chǔn	silly, fatuous
輿論	yú lùn	public opinion
漁民	yú mín	fisherfolk
予	yǔ	to give
與會	yǔ huì	participate in conference
雨季	yǔ jì	rainy season
語文	yǔ wén	(spoken and written) language, language and literature
予以	yǔ yǐ	give, grant
宇宙	yǔ zhòu	universe, cosmos
預	yù	in advance, beforehand
預測	yù cè	calculate, forecast
預訂	yù dìng	subscribe, book, place an order
預防	yù fáng	prevent, guard against
預告	yù gào	announce in advance, herald
預估	yù gū	predict
玉器	yù qì	jadeware
預賽	yù sài	preliminary contest
寓言	yù yán	allegory, parable, fable
預約	yù yuē	make an appointment
運	yùn	carry, transport, use, wield, utilize, revolve
孕婦	yùn fù	pregnant woman
醞釀	yùn niàng	make preparations, get ready
運行	yùn xíng	orbit, operate, travel, revolve, be in motion, gravitate, roll, run, circulate, move
原	yuán	originally, formerly
園林	yuán lín	garden, park
元氣	yuán qì	energy, force, vitality
元素	yuán sù	element
元首	yuán shǒu	head of state
原形	yuán xíng	original shape
原野	yuán yě	open country
原子	yuán zǐ	atom
原子彈	yuán zǐ dàn	atom/atomic bomb
援助	yuán zhù	help, aid, support
原狀	yuán zhuàng	previous condition
遠景	yuǎn jǐng	distant view, prospect, long shot
怨	yuàn	blame, reproach, reprove
約束	yuē shù	control, restrain, bind
躍	yuè	leap, jump
樂隊	yuè duì	orchestra, band
月台	yuè tái	railway platform
栽	zāi	plant
災禍	zāi huò	disaster, calamity
災情	zāi qíng	disaster conditions
在場	zài chǎng	be on the scene/spot, be present
再三	zài sān	over and over again
再生	zài shēng	be reborn, regenerate
在世	zài shì	be living
在座	zài zuò	be present
咱	zán	we, you and I, I
讚嘆	zàn tàn	admire
贊同	zàn tóng	approve of, endorse
贊助	zàn zhù	support, assist
贓物	zāng wù	booty, stolen goods
遭	zāo	encounter
遭	zāo	[activity] measure word for the first time sth happened
遭	zāo	by
遭遇	zāo yù	meet with, encounter
造反	zào fǎn	rise in rebellion, revolt, rebel, rise up
造化	zào huà	①[formal] Nature; the Creator ②[informal] good fortune
造物主	Zào wù zhǔ	God, the Creator
造型	zào xíng	modelling, mold-making, model, mold
責備	zé bèi	blame, reproach
增進	zēng jìn	enhance, promote, further
增強	zēng qiáng	strengthen, enhance
贈	zèng	give as present
資深	zī shēn	senior
姿勢	zī shì	posture, gesture
姿態	zī tài	posture, carriage, attitude, pose
滋味	zī wèi	taste, flavor
資訊	zī xùn	information
資助	zī zhù	aid financially, subsidize
子彈	zǐ dàn	bullet, cartridge
子弟	zǐ dì	juniors, children
子孫	zǐ sūn	children and grandchildren, descendants, posterity
紫外線	zǐ wài xiàn	ultraviolet ray
自	zì	from, since
自稱	zì chēng	call oneself, profess
自費	zì fèi	be at one's own expense
自豪	zì háo	pride oneself on
自覺	zì jué	be conscious/aware
自立	zì lì	stand on own feet
自滿	zì mǎn	self-satisfied, pretend, puff up, complacent, swell
自身	zì shēn	self, oneself
字體	zì tǐ	typeface, font, style of calligraphy
自信	zì xìn	self-confidence
自行	zì xíng	by oneself, of oneself, of one's own accord, voluntarily, proper motion
字眼(兒)	zì yǎn er	diction, choice of words
字樣	zì yàng	model of written characters, expressions used in certain contexts
自制	zì zhì	denial, continence, nerves, forbearance, self-renunciation, self-government, restraint, self-denial, temperateness, self-mastery, abnegation, sobriety, renunciation, self-abnegation, unpermissiveness, self-control, self-restraint, self-discipline, self-command, temperance
自治	zì zhì	self-govern, autonomic
自傳	zì zhuàn	autobiography
走廊	zǒu láng	corridor, passage, passageway
揍	zòu	beat, hit
宗旨	zōng zhǐ	aim, purpose
總裁	zǒng cái	head examiner, director-general, president, governor
總得	zǒng děi	must, have to, be bound to
總額	zǒng ' é	total
總和	zǒng hé	sum, total, sum total
總結	zǒng jié	summary, summing up
總經理	zǒng jīng lǐ	president, general manager
總數	zǒng shù	total, sum total
縱火	zòng huǒ	arson, incendiarism
縱容	zòng róng	connive, wink at
縱使	zòng shǐ	even if/though
租賃	zū lìn	rent, lease, hire
足	zú	as much as
阻擋	zǔ dǎng	stop, resist, obstruct, stem
阻力	zǔ lì	obstruction, resistance
阻撓	zǔn áo	obstruct, thwart, prevent
阻塞	zǔ sè	block up, obstruct, clog
祖宗	zǔ zōng	ancestors, forebears
組織	zǔ zhī	organize, form
組裝	zǔ zhuāng	assemble and install
鑽研	zuān yán	study/scrutinize intensively
鑽石	zuàn shí	diamond
嘴唇	zuǐ chún	lips
罪惡	zuì ' è	crime, evil
罪名	zuì míng	charge, accusation
罪行	zuì xíng	criminal acts
尊	zūn	[general] individual measure word for the statues of gods or Buddhas or sculptures etc
尊	zūn	honorable, respected
遵循	zūn xún	follow, abide by, adhere to
尊嚴	zūn yán	dignity, honor
作風	zuò fēng	style of work, way
作怪	zuò guài	make trouble, stir up trouble, do mischief
坐牢	zuò láo	be in jail, imprison, be imprisoned, be in prison
座談	zuò tán	have informal discussion
作為	zuò wéi	conduct, deed, action
作物	zuò wù	crop
座右銘	zuò yòu míng	motto, maxim
作戰	zuò zhàn	fight, do battle
坐鎮	zuò zhèn	to personally attend to garrison duty; to assume personal command
作證	zuò zhèng	testify, witness, take the stand, certify, attest, give evidence, verify, bear witness, depose, evidence
扎	zhā	prick
炸藥	zhà yào	explosive (charges), dynamite
沾	zhān	moisten, soak, be stained with, touch
盞	zhǎn	[general] individual measure word for lamps
展望	zhǎn wàng	look into the distance/future
展現	zhǎn xiàn	unfold before one's eyes
嶄新	zhǎn xīn	brand-new, completely new
顫抖	zhàn dǒu	shake, quiver, shiver
戰火	zhàn huǒ	flames of war
戰機	zhàn jī	warplanes
占	zhàn jù	occupy, hold
占	zhàn lǐng	capture, occupy
戰略	zhàn lüè	strategy
戰亂	zhàn luàn	chaos of war
戰勝	zhàn shèng	defeat, vanquish
戰士	zhàn shì	soldier, combatant, warrior
戰術	zhàn shù	military tactics
戰線	zhàn xiàn	battle line, front
戰友	zhàn yǒu	comrade-in-arms
戰戰兢兢	zhàn zhàn jīng jīng	with caution, with fear and trepidation
張開	zhāng kāi	open, spread
張貼	zhāng tiē	put up (poster/etc)
長輩	zhǎng bèi	elder generation
長子	zhǎng zǐ	eldest son
丈	zhàng	[standard] measure word for ①the length of cloth, silk etc. ②the height of buildings.3.the depth of mountains, valleys or rivers
帳篷	zhàng péng	tent
朝氣	zhāo qì	morning freshness, youthful spirit, vigor, vitality
著想	zháo xiǎng	consider, take into consideration
著眼	zhuó yǎn	view from the angle of, have... in mind, fix eyes upon, see from the angle of
找尋	zhǎo xún	look for, seek
沼澤	zhǎo zé	marsh, swamp, bog
召集	zhào jí	call together, convene
照例	zhào lì	according to precedent/practice
照耀	zhào yào	shine, illuminate
遮	zhē	conceal, cover, block, impede
遮蔽	zhē bì	hide from view, obstruct, block, defilade
折騰	zhē téng	toss and turn, do sth. over and over again, range back and forth, maneuver, cause physical/mental suffering
針灸	zhēn jiǔ	acupuncture
真情	zhēn qíng	sincere feeling or emotion
珍惜	zhēn xí	treasure, cherish
珍珠	zhēn zhū	pearl
診斷	zhěn duàn	diagnose
診所	zhěn suǒ	clinic
鎮定	zhèn dìng	calm, pacify, temper, mollify, tranquillize, assuage, quash, composed, quell, soothe
振動	zhèn dòng	vibrate
震驚	zhèn jīng	shock, amaze, astonish
鎮壓	zhèn yā	suppress, repress, put down, execute (counterrevolutionary)
陣營	zhèn yíng	camp
掙	zhèng	earn
蒸	zhēng	evaporate, steam
爭辯	zhēng biàn	argue, contend
爭奪	zhēng duó	vie with sb. for sth.
蒸發	zhēng fā	evaporate
爭論	zhēng lùn	controvercy, dispute
爭氣	zhēng qì	fight to excel, try to win credit for, try to bring credit to
蒸氣	zhēng qì	steam
徵收	zhēng shōu	levy, collect
爭議	zhēng yì	disputation, controversy
掙扎	zhēng zhá	struggle
整	zhěng	neat, tidy, orderly
整頓	zhěng dùn	rectify, reorganize
整體	zhěng tǐ	the whole, entirety
整整	zhěng zhěng	whole, full
正當	zhèng dāng	proper
正規	zhèng guī	regular, standard
政績	zhèng jī	achievements in one's official career
政見	zhèng jiàn	political view
正面	zhèng miàn	positively
政權	zhèng quán	political/state power, regime
證券	zhèng quàn	negotiable securities
證人	zhèng rén	witness
正統	zhèng tǒng	orthodox ideas/tradition
正義	zhèng yì	justice
織	zhī	weave, knit
支撐	zhī chēng	prop up, keep up
脂肪	zhī fáng	fat
支付	zhī fù	pay (money), defray
之後	zhī hòu	later, behind, after
之類	zhī lèi	such like
之內	zhī nèi	in, within, among, inside of
支配	zhī pèi	control, dominate, govern
之前	zhī qián	before, prior to
支應	zhī yìng	cope/deal with, equivocate, wait on, attend to, act as cashier
知足	zhī zú	be content with one's lot, contented
值班	zhí bān	be on duty
直徑	zhí jìng	diameter
質量	zhí liàng	quality, mass
殖民	zhí mín	colonize
值錢	zhí qián	valuable
質疑	zhí yí	call in question, challenge
職務	zhí wù	job, duties, post
職責	zhí zé	duty, obligation, responsibility
執照	zhí zhào	license, permit
執政	zhí zhèng	hold power, govern
執著	zhí zhuó	rigid, punctilious
止	zhǐ	until
指標	zhǐ biāo	target, quota, norm, index
只得	zhǐ děi	have to
指點	zhǐ diǎn	give directions/pointers/etc., direct, guide
指揮	zhǐ huī	commander, director, conductor
指揮	zhǐ huī	conduct, direct, command
指控	zhǐ kòng	accuse, charge
指南針	zhǐ nán zhēn	compass
指數	zhǐ shù	index (number), indicator, exponent
指頭	zhǐ tóu	finger
指望	zhǐ wàng	look to, count on
指紋	zhǐ wén	loops and whorls on fingers, fingerprint
指引	zhǐ yǐn	point way, guide, show
指責	zhǐ zé	censure, criticize
指正	zhǐ zhèng	note mistakes for correction, make comment/criticism
