#separator:tab
#html:false
# TOCFL Band A · Level 1 · 入門級 (A1)
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
啊	ā	ah, an exclamation
塊	kuài	piece; measure word for currency
快樂	kuài lè	to be happy
來	lái	to come
籃球	lán qiú	basketball
老師	lǎo shī	teacher
了	le	indicates change of situation or completed action
累	lèi	to be tired
冷	lěng	to be cold
冷氣(機)	lěng qì jī	air conditioner
離	lí	to be away from
離開	lí kāi	to leave
裡面	lǐ miàn	inside
兩	liǎng	two (used with measure words)
六	liù	six
樓	lóu	floor, story, building
樓上	lóu shàng	upstairs
樓下	lóu xià	downstairs
路	lù	road
路口	lù kǒu	intersection, crossing
旅行	lǚ xíng	to travel, to take a trip
綠色	lǜ sè	green
嗎	ma	a question particle
媽媽	mā ma	mother
買	mǎi	to buy
賣	mài	to sell
忙	máng	to be busy
貓	māo	cat
毛	máo	dime, one-tenth of a yuan/NTD
每	měi	every
美國	Měi guó	USA, America
沒	méi	not (have)
沒有	méi yǒu	to not have / used to ask if an action is done
沒關係	méi guān xì	never mind, it doesn't matter
沒問題	méi wèn tí	no problem
妹妹	mèi mei	younger sister
門	mén	door, gate
門口	mén kǒu	entrance, doorway
麵	miàn	noodles
麵包	miàn bāo	bread
明年	míng nián	next year
明天	míng tiān	tomorrow
名字	míng zì	name
拿	ná	to bring, to carry, to hold
哪裡	nǎ lǐ	where
那裡	nà lǐ	there, over there
那些	nà xiē	those
難	nán	to be difficult
南(邊)	nán biān	south
男孩子	nán hái zi	boy
男生	nán shēng	boy, male student
呢	ne	sentence particle for lingering questions or ongoing states
能	néng	can, to be capable of
你	nǐ	you
你們	nǐ men	you (plural)
年	nián	year
您	nín	you (polite)
牛奶	niú nǎi	cow's milk
女兒	nǚ 'ér	daughter
女孩子	nǚ hái zi	girl
女生	nǚ shēng	girl, female student
跑步	pǎo bù	to jog, to run
朋友	péng yǒu	friend
便宜	pián yi	to be cheap
票	piào	ticket
漂亮	piào liàng	to be beautiful, pretty
皮包	pí bāo	handbag, purse
瓶	píng	bottle / measure word for bottles
七	qī	seven
騎	qí	to ride (bicycle, motorcycle, horse)
千	qiān	thousand
錢	qián	money
前(面)	qián miàn	in front
錢包	qián bāo	wallet, purse
起床	qǐ chuáng	to get out of bed
請	qǐng	please, to invite
請問	qǐng wèn	may I ask?, excuse me
球	qiú	ball
秋天	qiū tiān	autumn, fall
去	qù	to go
去年	qù nián	last year
熱	rè	to be hot
熱狗	rè gǒu	hot dog
熱鬧	rè nào	lively, bustling
人	rén	person, people
認識	rèn shi	to know, to recognize
日本	Rì běn	Japan
容易	róng yì	to be easy
肉	ròu	meat
三	sān	three
傘	sǎn	umbrella
山	shān	mountain
上	shàng	to go up, get on / above, on top
上班	shàng bān	to go to work, start work
商店	shāng diàn	shop, store
上課	shàng kè	to go to class, attend class
上網	shàng wǎng	to go online
上午	shàng wǔ	morning, before noon
少	shǎo	few, little, less
誰	shéi	who, whom
生病	shēng bìng	to fall ill, be sick
生日	shēng rì	birthday
身體	shēn tǐ	body, health
什麼	shén me	what
十	shí	ten
時候	shí hòu	time, moment
時間	shí jiān	time (duration or concept)
時鐘	shí zhōng	clock
是	shì	to be (am, is, are)
收到	shōu dào	to receive
手	shǒu	hand
手機	shǒu jī	cell phone
書	shū	book
書包	shū bāo	schoolbag
舒服	shū fú	to be comfortable
暑假	shǔ jià	summer vacation
樹	shù	tree
雙	shuāng	measure word for a pair
水	shuǐ	water
水果	shuǐ guǒ	fruit
睡覺	shuì jiào	to sleep
說	shuō	to speak, say
說話	shuō huà	to talk, speak words
四	sì	four
宿舍	sù shè	dormitory
歲	suì	years of age
算	suàn	to calculate, count
送	sòng	to give as a gift, deliver, see someone off
所以	suǒ yǐ	therefore, so
他	tā	he, him
他們	tā men	they, them
太	tài	too, excessively
太太	tài tai	Mrs., wife
糖	táng	candy, sugar
特別	tè bié	especially / to be special
踢	tī	to kick
天	tiān	day, sky
天氣	tiān qì	weather
跳舞	tiào wǔ	to dance
聽	tīng	to listen, hear
痛	tòng	to be painful, ache
同學	tóng xué	classmate
頭	tóu	head
圖片	tú piàn	picture, illustration
圖書館	tú shū guǎn	library
外面	wài miàn	outside
完	wán	to finish, complete
玩(兒)	wán (r)	to play, have fun
碗	wǎn	bowl / measure word for bowls
晚安	wǎn 'ān	good night
晚餐	wǎn cān	dinner
晚上	wǎn shàng	evening, night
往	wǎng	towards, heading to
網球	wǎng qiú	tennis
網站	wǎng zhàn	website
忘	wàng	to forget
喂	wéi	hello (on the phone)
位	wèi	polite measure word for people
為什麼	wèi shén me	why
問	wèn	to ask
問題	wèn tí	problem, question
我	wǒ	I, me
我們	wǒ men	 we, us
五	wǔ	five
午餐	wǔ cān	lunch
洗	xǐ	to wash
下	xià	to go down, get off / below
西(邊)	xī biān	west
下班	xià bān	to get off work
下課	xià kè	to finish class
夏天	xià tiān	summer
下午	xià wǔ	afternoon
下雨	xià yǔ	to rain
先	xiān	first, in advance
先生	xiān shēng	Mr., husband, gentleman
現在	xiàn zài	now
想	xiǎng	to want to, think, miss
像	xiàng	to resemble, be like
小	xiǎo	to be small
小姐	xiǎo jiě	Miss, young lady
小時	xiǎo shí	hour
小心	xiǎo xīn	to be careful
鞋子	xié zi	shoes
寫	xiě	to write
寫字	xiě zì	to write characters
謝謝	xiè xie	to thank, thanks
喜歡	xǐ huān	to like
洗手間	xǐ shǒu jiān	restroom, toilet
洗衣機	xǐ yī jī	washing machine
洗澡	xǐ zǎo	to take a bath/shower
新	xīn	to be new
新年	xīn nián	New Year
信	xìn	letter, mail
信封	xìn fēng	envelope
星期	xīng qī	week
星期天	xīng qī tiān	Sunday
行	xíng	to be OK, permissible
姓	xìng	to be surnamed / surname
休息	xiū xí	to rest
學	xué	to study, learn
學生	xué shēng	student
學校	xué xiào	school
眼睛	yǎn jīng	eyes
要	yào	to want, need
藥	yào	medicine
也	yě	also, too
一	yī	one
醫生	yī shēng	doctor
一點兒	yī diǎn r	a little bit
一定	yī dìng	certainly, definitely
衣服	yī fú	clothes
醫院	yī yuàn	hospital
一共	yī gòng	altogether, in total
以後	yǐ hòu	after, afterwards
已經	yǐ jīng	already
以前	yǐ qián	before, previously
椅子	yǐ zi	chair
一起	yī qǐ	together
一些	yī xiē	some, a few
一樣	yī yàng	to be the same
一直	yī zhí	straight, continuously
意思	yì sī	meaning, idea
銀行	yín háng	bank
因為	yīn wèi	because
音樂	yīn yuè	music
英國	Yīng guó	UK, United Kingdom
英文	Yīng wén	English language
郵局	yóu jú	post office
郵票	yóu piào	postage stamp
游泳	yóu yǒng	to swim
游泳池	yóu yǒng chí	swimming pool
有	yǒu	to have, there is/are
有點(兒)	yǒu diǎn (r)	a bit, somewhat
有空(兒)	yǒu kòng (r)	to have free time
有時候	yǒu shí hòu	sometimes
有意思	yǒu yì sī	to be interesting, meaningful
又	yòu	again (in the past)
右(邊)	yòu biān	right side
用	yòng	to use
魚(兒)	yú (r)	fish
元	yuán	dollar, currency unit
遠	yuǎn	to be far
月	yuè	month, moon
運動	yùn dòng	sports, exercise / to exercise
雨天	yǔ tiān	rainy day
再	zài	again (in the future)
在	zài	at, in, on / particle for action in progress
再見	zài jiàn	goodbye
早	zǎo	to be early / good morning
早餐	zǎo cān	breakfast
早上	zǎo shàng	morning
怎麼	zěn me	how
怎麼辦	zěn me bàn	what to do?
怎麼了	zěn me le	what's wrong?
怎麼樣	zěn me yàng	how about?, how is it?
站	zhàn	station, stop / to stand
張	zhāng	measure word for flat objects (paper, tables)
找	zhǎo	to look for
找到	zhǎo dào	to have found
照片	zhào piàn	photo
照相	zhào xiàng	to take a photo
照相機	zhào xiàng jī	camera
這裡	zhè lǐ	here
這些	zhè xiē	these
紙	zhǐ	paper
枝	zhī	measure word for pens, long thin objects
隻	zhī	measure word for certain animals or one of a pair
知道	zhī dào	to know
中國	Zhōng guó	China
中文	Zhōng wén	Chinese language
中午	zhōng wǔ	noon
重要	zhòng yào	to be important
週末	zhōu mò	weekend
住	zhù	to live, stay at
桌(子)	zhuō zi	table, desk
自己	zì jǐ	oneself
姊姊	jiě jie	elder sister
走	zǒu	to walk, leave
走路	zǒu lù	to walk
足球	zú qiú	soccer, football
最	zuì	the most (-est)
最近	zuì jìn	recently, lately
昨天	zuó tiān	yesterday
左(邊)	zuǒ biān	left side
坐	zuò	to sit, travel by
做	zuò	to do, make
做飯	zuò fàn	to cook, prepare a meal
做完	zuò wán	to finish doing something
